OBJECTID,NAME,TERM_ID,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,COUNTY,COUNTYFIPS,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,WEBSITE,EXSTARS_I,OWNER,OPERATOR,POSREL,COMMODITY,CAPACITY,TRUCK_IN,TRUCK_OUT,MARINE_IN,MARINE_OUT,RAIL_IN,RAIL_OUT,PIPE_IN,PIPE_OUT,ASPHALT,CHEMICALS,PROPANE,BUTANE,REFINED,ETHANOL,BIODIESEL,CRUDE_OIL,JETFUEL,GASOLINE,DISTILLATE,AVGAS,RENEWABLE_DIESEL
1439,ENTERPRISE WATKINS GLEN TERMINAL,ANLTK36085,3691 STATE HIGHWAY 14 NORTH,WATKINS GLEN,NY,14891,312,(607) 535-4479,LPG TERMINAL,IN SERVICE,SCHUYLER,36097,42.41211475,-76.90158403,488999,ALL OTHER SUPPORT ACTIVITIES FOR TRANSPORTATION,RIGHT-TO-KNOW NETWORK,http://data.rtknet.org/,NONE,ENTERPRISE TE PRODUCTS PL COMPANY LL,NOT AVAILABLE,WITHIN 40 FEET,REFINED,1028893,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
1440,"WESTMORE FUEL COMPANY, INCORPORATED",ANLTK36086,2 PURDY AVE,PORT CHESTER,NY,10573,NOT AVAILABLE,(888) 696-4031,MARINE TERMINAL,IN SERVICE,WESTCHESTER,36119,40.99542722,-73.66058939,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,http://www.westmorefuel.com/,T-13-NY-1360,WESTMORE FUELS,NOT AVAILABLE,WITHIN 40 FEET,BIOFUEL,-999,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO
1441,PECKHAM INDUSTRIES,ANLTK36087,2 UNION STREET EXTENSION,ATHENS,NY,12015,NOT AVAILABLE,(518) 945-1120,ASPHALT TERMINAL,IN SERVICE,GREENE,36039,42.268424,-73.803975,324121,ASPHALT PAVING MIXTURE AND BLOCK MANUFACTURING,EIA,http://www.peckham.com/,NONE,PECKHAM MATERIALS INC.,PECKHAM MATERIALS INC.,WITHIN 40 FEET,ASPHALT,83300,NOT AVAILABLE,YES,YES,NOT AVAILABLE,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO
1442,ALBANY INTERNATIONAL AIRPORT,ANLTK36088,737 ALBANY SHAKER ROAD,ALBANY,NY,12211,NOT AVAILABLE,(518) 242-2444,AIRPORT,IN SERVICE,ALBANY,36001,42.751801,-73.813323,424710,PETROLEUM BULK STATIONS AND TERMINALS,AIRNAV,http://www.albanyairport.com/,NONE,ALBANY COUNTY AIRPORT AUTHORITY,MILLION AIR ALBANY,WITHIN 166 FEET,REFINED,-999,YES,NOT AVAILABLE,NO,NO,NO,NO,NOT AVAILABLE,NOT AVAILABLE,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,YES,NO
1443,MASSENA INTERNATIONAL AIRPORT,ANLTK36089,90 AVIATION ROAD,MASSENA,NY,13662,3255,(315) 769-7605,AIRPORT,IN SERVICE,ST. LAWRENCE,36089,44.932895,-74.853093,424710,PETROLEUM BULK STATIONS AND TERMINALS,AIRNAV,http://massenainternationalairport.com/,NONE,TOWN OF MASSENA,TOWN OF MASSENA,WITHIN 40 FEET,REFINED,-999,YES,NOT AVAILABLE,NO,NO,NO,NO,NOT AVAILABLE,NOT AVAILABLE,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,YES,NO
1444,OGDENSBURG INTERNATIONAL AIRPORT,ANLTK36090,5900 NY-812,OGDENSBURG,NY,13669,NOT AVAILABLE,(315) 393-4271,AIRPORT,IN SERVICE,ST. LAWRENCE,36089,44.678018,-75.476337,424710,PETROLEUM BULK STATIONS AND TERMINALS,AIRNAV,http://www.ogsair.com/,NONE,OGDENSBURG BRIDGE AND PORT AUTHORITY,NOT AVAILABLE,WITHIN 40 FEET,REFINED,476,YES,NOT AVAILABLE,NO,NO,NO,NO,NOT AVAILABLE,NOT AVAILABLE,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,YES,NO
1445,WATERTOWN INTERNATIONAL AIRPORT,ANLTK36091,22529 NY-12F,DEXTER,NY,13634,NOT AVAILABLE,(315) 786-6001,AIRPORT,IN SERVICE,JEFFERSON,36045,43.99528,-76.022195,424710,PETROLEUM BULK STATIONS AND TERMINALS,AIRNAV,http://www.watertownairport.com/,NONE,JEFFERSON COUNTY,WATERTOWN INTERNATIONAL AIRPORT,WITHIN 1 MILE,REFINED,-999,YES,NOT AVAILABLE,NO,NO,NO,NO,NOT AVAILABLE,NOT AVAILABLE,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,YES,NO
1446,GREATER ROCHESTER INTERNATIONAL AIRPORT,ANLTK36092,1200 BROOKS AVENUE,ROCHESTER,NY,14624,NOT AVAILABLE,(585) 753-7056,AIRPORT,IN SERVICE,MONROE,36055,43.126384,-77.65838,424710,PETROLEUM BULK STATIONS AND TERMINALS,AIRNAV,https://www2.monroecounty.gov/,NONE,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,REFINED,7142,NOT AVAILABLE,NOT AVAILABLE,NO,NO,NO,NO,NOT AVAILABLE,NOT AVAILABLE,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO
1447,DIXIE PIPELINE COMPANY - APEX,ANLTK37001,1521 EAST WILLIAMS STREET,APEX,NC,27539,NOT AVAILABLE,(713) 381-8298,LPG TERMINAL,IN SERVICE,WAKE,37183,35.708398,-78.835737,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,NOT AVAILABLE,NONE,ENTERPRISE PROPANE TRMNLS & STORAGE,NOT AVAILABLE,WITHIN 40 FEET,"REFINED, CHEMICALS",402145,YES,YES,NO,NO,NO,NO,YES,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
1448,"AIRPORT GROUP INTERNATIONAL, INCORPORATED - CHARLOTTE DOUGLAS INTERNATIONAL AIRPORT",ANLTK37002,6502 OLD DOWD ROAD (TERMINAL),CHARLOTTE,NC,28208,NOT AVAILABLE,(704) 359-5209,AIRPORT TERMINAL,IN SERVICE,MECKLENBURG,37119,35.228605,-80.948167,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,www.asig.com,T-56-NC-2032,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,REFINED,162500,YES,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,YES,NO,NO
1449,ASSOCIATED ASPHALT CHARLOTTE,ANLTK37003,1801 WESTINGHOUSE BLVD,CHARLOTTE,NC,28273,NOT AVAILABLE,NOT AVAILABLE,ASPHALT TERMINAL,IN SERVICE,MECKLENBURG,37119,35.125971,-80.940202,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,NOT AVAILABLE,NONE,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,"REFINED, ASPHALT, CHEMICALS",129190,YES,YES,NO,NO,YES,YES,NO,NO,YES,YES,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO
1450,MARATHON CHARLOTTE (EAST),ANLTK37004,7401 OLD MT HOLLY RD,CHARLOTTE,NC,28214,NOT AVAILABLE,(704) 399-3371,BULK TERMINAL,IN SERVICE,MECKLENBURG,37119,35.277569,-80.930692,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,NOT AVAILABLE,T-56-NC-2008,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,REFINED,461417,YES,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,YES,YES,YES,NO,NO
1451,KINDER MORGAN SOUTHEAST TERMINALS LLC - CHARLOTTE 3,ANLTK37005,7325 OLD MT HOLLY RD,CHARLOTTE,NC,28214,NOT AVAILABLE,(704) 399-3041,BULK TERMINAL,IN SERVICE,MECKLENBURG,37119,35.277576,-80.928386,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,www.kindermorgan.com/,T-56-NC-2026,Kinder Morgan,Kinder Morgan,WITHIN 40 FEET,"REFINED, CHEMICALS",140000,YES,YES,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,YES,YES,YES,NO,NO
1452,CITGO PETROLEUM CORPORATION - CHARLOTTE TERMINAL,ANLTK37006,7600 MOUNT HOLLY RD,CHARLOTTE,NC,28214,NOT AVAILABLE,(704) 392-3236,BULK TERMINAL,IN SERVICE,MECKLENBURG,37119,35.280433,-80.934585,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,www.citgo.com,T-56-NC-2001,NOT AVAILABLE,CITGO PETROLEUM CORPORATION,WITHIN 40 FEET,"REFINED, CHEMICALS",202897,YES,YES,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,YES,YES,NO,NO
1453,COLONIAL PIPELINE COMPANY,ANLTK37007,7524 KENSTEAD CIRCLE,CHARLOTTE,NC,28214,NOT AVAILABLE,NOT AVAILABLE,BREAKOUT TANKS,IN SERVICE,MECKLENBURG,37119,35.285229,-80.934491,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,www.colpipe.com,NONE,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,REFINED,697562,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,NO,NO
1454,KINDER MORGAN SOUTHEAST TERMINALS - CHARLOTTE TERMINAL 2,ANLTK37008,6801 FREEDOM DR,CHARLOTTE,NC,28214,NOT AVAILABLE,(336) 855-4461,BULK TERMINAL,IN SERVICE,MECKLENBURG,37119,35.278189,-80.938852,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,www.kindermorgan.com,T-56-NC-2000,Kinder Morgan,Kinder Morgan,WITHIN 40 FEET,REFINED,380135,YES,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO
1455,KINDER MORGAN SOUTHEAST TERMINALS - CHARLOTTE TERMINAL 1,ANLTK37009,502 TOM SADLER ROAD,CHARLOTTE,NC,28214,NOT AVAILABLE,(704) 399-6327,BULK TERMINAL,IN SERVICE,MECKLENBURG,37119,35.284779,-80.938897,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,www.kindermorgan.com,T-56-NC-2004,Kinder Morgan,Kinder Morgan,WITHIN 40 FEET,REFINED,140814,YES,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,YES,YES,YES,NO,NO
1456,"MAGELLAN TERMINALS HOLDINGS, L.P. - CHARLOTTE 2",ANLTK37010,7924 MOUNT HOLLY RD,CHARLOTTE,NC,28214,NOT AVAILABLE,(704) 399-6331,BULK TERMINAL,IN SERVICE,MECKLENBURG,37119,35.282311,-80.939952,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,http://www.magellanlp.com/,T-56-NC-2006,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,REFINED,332585,YES,YES,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,NO,NO
1457,"MAGELLAN TERMINALS HOLDINGS, L.P. - CHARLOTTE I",ANLTK37011,7145 OLD MT HOLLY RD,CHARLOTTE,NC,28214,NOT AVAILABLE,(704) 399-8457,BULK TERMINAL,IN SERVICE,MECKLENBURG,37119,35.278959,-80.92518,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,http://www.magellanlp.com/,T-56-NC-2024,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,REFINED,158417,YES,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO
1458,MARATHON PETROLEUM COMPANY LLC,ANLTK37012,8035 MOUNT HOLLY RD,CHARLOTTE,NC,28214,NOT AVAILABLE,(704) 392-1345,BULK TERMINAL,IN SERVICE,MECKLENBURG,37119,35.280916,-80.942631,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,NOT AVAILABLE,T-56-NC-2002,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,"REFINED, ASPHALT",144992,YES,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO
1459,MOTIVA ENTERPRISES LLC - CHARLOTTE SOUTH TERMINAL,ANLTK37013,6851 FREEDOM DR,CHARLOTTE,NC,28214,NOT AVAILABLE,(704) 394-2314,BULK TERMINAL,IN SERVICE,MECKLENBURG,37119,35.279813,-80.939988,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,www.motivaenterprises.com,T-56-NC-2005,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,REFINED,122000,YES,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO
1460,"MOTIVA ENTERPRISES, LLC - CHARLOTTE NORTH TERMINAL",ANLTK37014,410 TOM SADLER ROAD,CHARLOTTE,NC,28214,NOT AVAILABLE,(704) 399-3301,BULK TERMINAL,IN SERVICE,MECKLENBURG,37119,35.282624,-80.936711,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,www.motivaenterprises.com,T-56-NC-2007,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,REFINED,195000,YES,YES,NO,NO,NO,NO,YES,YES,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO
1461,PLANTATION PIPE LINE COMPANY - PAW CREEK,ANLTK37015,6869 FREEDOM DRIVE,CHARLOTTE,NC,28214,NOT AVAILABLE,NOT AVAILABLE,BREAKOUT TANKS,IN SERVICE,MECKLENBURG,37119,35.279539,-80.944753,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,NOT AVAILABLE,NONE,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,REFINED,107878,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO
1462,ECO-ENERGY DISTRIBUTION SERVICES LLC - CHARLOTTE,ANLTK37016,7720 MOUNT HOLLY RD,CHARLOTTE,NC,28214,NOT AVAILABLE,NOT AVAILABLE,BULK TERMINAL,IN SERVICE,MECKLENBURG,37119,35.2805,-80.93695,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,NOT AVAILABLE,NONE,ECO-ENERGY DISTRIBUTION SERVICES LLC,NOT AVAILABLE,WITHIN 40 FEET,NOT AVAILABLE,260000,YES,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
1463,TRANSMONTAIGNE - CHARLOTTE / PAW CREEK,ANLTK37017,7615 OLD MT HOLLY RD,CHARLOTTE,NC,28214,NOT AVAILABLE,(704) 399-8378,BULK TERMINAL,IN SERVICE,MECKLENBURG,37119,35.278072,-80.934041,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,www.transmontaigne.com,T-56-NC-2023,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,REFINED,121000,YES,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,NO,NO
1464,"ALLIED TERMINALS, INCORPORATED",ANLTK37018,809 SOUTH KING STREET,FAYETTEVILLE,NC,28301,NOT AVAILABLE,(910) 483-4179,MARINE TERMINAL,IN SERVICE,CUMBERLAND,37051,35.034694,-78.86178,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,NOT AVAILABLE,T-56-NC-2027,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,CHEMICALS,165000,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
1465,MOTIVA ENTERPRISES LLC,ANLTK37019,992 SHAW MILL ROAD,FAYETTEVILLE,NC,28311,NOT AVAILABLE,(910) 488-2450,BULK TERMINAL,IN SERVICE,CUMBERLAND,37051,35.113032,-78.927301,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,www.motivaenterprises.com,T-56-NC-2009,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,REFINED,129742,YES,YES,YES,YES,NO,NO,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,YES,NO,NO
1466,CENTER POINT TERMINAL COMPANY - GREENSBORO,ANLTK37020,6900 WEST MARKET STREET,GREENSBORO,NC,27409,NOT AVAILABLE,(336) 854-8556,BULK TERMINAL,IN SERVICE,GUILFORD,37081,36.079963,-79.92509,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,http://www.worldpointlp.com/,T-56-NC-2019,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,"REFINED, BIOFUEL",684000,YES,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,YES,NO,YES,NO,YES,YES,YES,NO,NO
1467,ASSOCIATED ASPHALT,ANLTK37021,100 SOUTH CHIMNEY ROCK ROAD,GREENSBORO,NC,27409,NOT AVAILABLE,NOT AVAILABLE,ASPHALT TERMINAL,IN SERVICE,GUILFORD,37081,36.075521,-79.920334,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,NOT AVAILABLE,NONE,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,ASPHALT,320000,YES,YES,NO,NO,YES,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
1468,COLONIAL PIPELINE COMPANY,ANLTK37022,411 GALLIMORE DAIRY ROAD,GREENSBORO,NC,27409,NOT AVAILABLE,(336) 931-6025,BREAKOUT TANKS,IN SERVICE,GUILFORD,37081,36.070494,-79.936763,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,www.colpipe.com,NONE,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,REFINED,7826000,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,NO,NO
1469,KINDER MORGAN ENGERY PARTNERS LP - GREENSBORO # 2,ANLTK37023,6376 BURNT POPLAR ROAD,GREENSBORO,NC,27409,NOT AVAILABLE,(336) 294-0889,BULK TERMINAL,IN SERVICE,GUILFORD,37081,36.07621,-79.934684,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,www.kindermorgan.com,T-56-NC-2015,Kinder Morgan,Kinder Morgan,WITHIN 40 FEET,"REFINED, CHEMICALS",691651,YES,YES,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,YES,YES,YES,NO,NO
1470,KINDER MORGAN SOUTHEAST TERMINALS - GREENSBORO # 1 TERMINAL,ANLTK37024,6907 WEST MARKET STREET,GREENSBORO,NC,27409,NOT AVAILABLE,(704) 399-5696,MARINE TERMINAL,IN SERVICE,GUILFORD,37081,36.075847,-79.928522,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,www.kindermorgan.com,NONE,Kinder Morgan,Kinder Morgan,WITHIN 40 FEET,"REFINED, CHEMICALS",713932,NO,NO,YES,YES,NO,NO,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO
1471,"MAGELLAN MIDSTREAM PARTNERS, L.P. - GREENSBORO 2",ANLTK37025,7109 WEST MARKET STREET,GREENSBORO,NC,27409,NOT AVAILABLE,(336) 299-3621,BULK TERMINAL,IN SERVICE,GUILFORD,37081,36.080609,-79.933354,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,http://www.magellanlp.com/,T-56-NC-2011,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,REFINED,235424,YES,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO
1472,"MAGELLAN MIDSTREAM PARTNERS, L.P. - GREENSBORO 1",ANLTK37026,115 S CHIMNEY ROCK ROAD,GREENSBORO,NC,27409,NOT AVAILABLE,(336) 299-4167,BULK TERMINAL,IN SERVICE,GUILFORD,37081,36.073083,-79.919557,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,http://www.magellanlp.com/,T-56-NC-2020,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,REFINED,231426,YES,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,NO,NO
1473,MOTIVA ENTERPRISES LLC,ANLTK37027,101 SOUTH CHIMNEY ROCK ROAD,GREENSBORO,NC,27409,NOT AVAILABLE,(910) 488-2450,BULK TERMINAL,IN SERVICE,GUILFORD,37081,36.074894,-79.917885,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,www.motivaenterprises.com,T-56-NC-2021,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,REFINED,190800,YES,YES,YES,YES,NO,NO,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,YES,NO,NO
1474,PLANTATION PIPE LINE COMPANY,ANLTK37028,6907A WEST MARKET STREET,GREENSBORO,NC,27409,NOT AVAILABLE,(225) 778-2320,BREAKOUT TANKS,IN SERVICE,GUILFORD,37081,36.075915,-79.92522,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,NOT AVAILABLE,NONE,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,"REFINED, CHEMICALS",1119318,NO,NO,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO
1475,TRANSMONTAIGNE PRODUCT SERVICES INC,ANLTK37029,6801 WEST MARKET STREET,GREENSBORO,NC,27409,NOT AVAILABLE,(336) 299-2611,MARINE TERMINAL,IN SERVICE,GUILFORD,37081,36.07623,-79.922466,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,www.transmontaigne.com,T-56-NC-2017,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,"REFINED, CHEMICALS",539255,NO,NO,YES,YES,NO,NO,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,YES,YES,NO,NO
1476,TRANSMONTAIGNE INCORPORATED,ANLTK37030,6907B WEST MARKET STREET,GREENSBORO,NC,27409,NOT AVAILABLE,(336) 299-1805,BULK TERMINAL,IN SERVICE,GUILFORD,37081,36.078136,-79.927552,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,www.transmontaigne.com,T-56-NC-2010,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,REFINED,405986,YES,YES,YES,YES,NO,NO,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO
1477,MOTIVA ENTERPRISES LLC,ANLTK37032,2232 TEN TEN ROAD,RALEIGH,NC,27539,NOT AVAILABLE,(919) 362-8341,BULK TERMINAL,IN SERVICE,WAKE,37183,35.717229,-78.814733,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,www.motivaenterprises.com,T-56-NC-2027,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,REFINED,208902,YES,YES,YES,YES,NO,NO,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,YES,NO,NO
1478,RALEIGH-DURHAM AIRPORT AUTHORITY,ANLTK37033,2800 W TERMINAL BLVD,RALEIGH,NC,27560,NOT AVAILABLE,NOT AVAILABLE,AIRPORT TERMINAL,IN SERVICE,WAKE,37183,35.87005,-78.80286,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,NOT AVAILABLE,T-56-NC-2045,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,NOT AVAILABLE,100000,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
1479,ZENITH ENERGY US - SELMA TERMINAL,ANLTK37034,2999 WEST OAK STREET,SELMA,NC,27576,NOT AVAILABLE,(919) 965-2769,BULK TERMINAL,IN SERVICE,JOHNSTON,37101,35.553575,-78.311955,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,www.zenithem.com,T-56-NC-2025,NOT AVAILABLE,ZENITH ENERGY US LP,WITHIN 40 FEET,"REFINED, BIOFUEL",171000,YES,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,YES,YES,NO,NO
1480,MARATHON SELMA,ANLTK37035,3707 BUFFALO ROAD,SELMA,NC,27576,NOT AVAILABLE,(919) 965-3751,BULK TERMINAL,IN SERVICE,JOHNSTON,37101,35.548867,-78.306053,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,www.bp.com,T-56-NC-2029,MARATHON PETROLEUM CO LLC,NOT AVAILABLE,WITHIN 40 FEET,"REFINED, CHEMICALS",327997,YES,YES,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO
1481,CITGO PETROLEUM CORPORATION - SELMA TERMINAL,ANLTK37036,4095 BUFFALO ROAD,SELMA,NC,27576,NOT AVAILABLE,(919) 965-3746,BULK TERMINAL,IN SERVICE,JOHNSTON,37101,35.551098,-78.299644,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,www.citgo.com,T-56-NC-2030,NOT AVAILABLE,CITGO PETROLEUM CORPORATION,WITHIN 40 FEET,"REFINED, CHEMICALS",1374717,YES,YES,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,YES,YES,NO,NO
1482,KINDER MORGAN TERMINALS (SELMA I),ANLTK37037,2200 WEST OAK STREET,SELMA,NC,27576,NOT AVAILABLE,(919) 965-6043,BULK TERMINAL,IN SERVICE,JOHNSTON,37101,35.550571,-78.30887,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,www.kindermorgan.com,T-56-NC-2018,Kinder Morgan,Kinder Morgan,WITHIN 40 FEET,"REFINED, CHEMICALS",396388,YES,YES,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO
1483,KINDER MORGAN TERMINALS(SELMA II),ANLTK37038,2101 WEST OAK STREET,SELMA,NC,27576,NOT AVAILABLE,(919) 965-9133,BULK TERMINAL,IN SERVICE,JOHNSTON,37101,35.550394,-78.305169,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,www.kindermorgan.com,T-56-NC-2013,Kinder Morgan,Kinder Morgan,WITHIN 40 FEET,CHEMICALS,51722,YES,YES,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
1484,KINDER MORGAN TERMINALS (SELMA III),ANLTK37039,4383 BUFFALO ROAD,SELMA,NC,27576,NOT AVAILABLE,(919) 965-6043,BULK TERMINAL,IN SERVICE,JOHNSTON,37101,35.55455,-78.300221,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,www.kindermorgan.com,T-56-NC-2033,Kinder Morgan,Kinder Morgan,WITHIN 40 FEET,"REFINED, CHEMICALS",188704,YES,YES,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO
